"","SITECODE","PERIOD","Site_P","COMMENTS","Start","End","RANGE","MID"
"332","GAG87",1,"GAG87-1","Natural topography and stream tributaries (pre-Roman)",NA,43,NA,NA
"333","GAH95",0,"GAH95-0","Natural",NA,NA,NA,NA
"334","GAH95",1,"GAH95-1","Upto AD 43",NA,43,NA,NA
"335","GAM88",1,"GAM88-1","",NA,NA,NA,NA
"336","GAM88",10,"GAM88-10","",NA,NA,NA,NA
"337","GAM88",2,"GAM88-2","",NA,NA,NA,NA
"338","GAM88",5,"GAM88-5","",NA,NA,NA,NA
"339","GAM88",6,"GAM88-6","",NA,NA,NA,NA
"340","GAM88",7,"GAM88-7","",NA,NA,NA,NA
"341","GAM88",8,"GAM88-8","",NA,NA,NA,NA
"342","GAS88",0,"GAS88-0","",NA,NA,NA,NA
"343","GAS88",1,"GAS88-1","Topography and prehistoric activity",NA,43,NA,NA
"344","GBP93",0,"GBP93-0","",NA,NA,NA,NA
"345","GDA06",0,"GDA06-0","",NA,NA,NA,NA
"346","GDA06",1,"GDA06-1","THE PERIOD UP TO 1270
NO FEATURES",NA,1270,NA,NA
"347","GDV96",1,"GDV96-1","NATURAL GEOLOGY",NA,NA,NA,NA
"348","GHB06",1,"GHB06-1","",NA,NA,NA,NA
"349","GHB06",2,"GHB06-2","",NA,NA,NA,NA
"350","GHB06",4,"GHB06-4","",NA,NA,NA,NA
"351","GHB06",6,"GHB06-6","",NA,NA,NA,NA
"352","GHD90",0,"GHD90-0","",NA,NA,NA,NA
"353","GHL89",1,"GHL89-1","Natural",NA,NA,NA,NA
"354","GHM05",1,"GHM05-1","NATURAL GEOLOGY AND NATURAL FEATURES",NA,NA,NA,NA
"355","GHM05",11,"GHM05-11","",NA,NA,NA,NA
"356","GHR82",0,"GHR82-0","",NA,NA,NA,NA
"357","GHR82",1,"GHR82-1","Natural",NA,NA,NA,NA
"358","GHT00",0,"GHT00-0","",NA,NA,NA,NA
"359","GHT00",1,"GHT00-1","NATURAL GEOLOGY BE/GRAVEL",NA,NA,NA,NA
"360","GIM07",0,"GIM07-0","",NA,NA,NA,NA
"361","GLB96",1,"GLB96-1","PRE C. 1580, ALLUVIUM AND MED/POST MED LAND RECLAMATION",NA,1580,NA,NA
"362","GL-FAI00",0,"GL-FAI00-0","NATURAL OR UNDATED FEATURES",NA,NA,NA,NA
"363","GLS06",0,"GLS06-0","",NA,NA,NA,NA
"364","GLS06",1,"GLS06-1","CHANGES IN NATURAL CONDITIONS ON THE SITE AS IT BEGAN TO SILT UP FROM THE ROMAN PERIOD",43,NA,NA,NA
"365","GLY01",1,"GLY01-1","THE PRE ROMAN PERIOD 
NATURAL DEPOSITS ONLY",NA,43,NA,NA
"366","GLY01",4,"GLY01-4","MONASTIC 
1370-1538",NA,1538,NA,NA
"367","GM160",10,"GM160-10","",NA,NA,NA,NA
"368","GM160",11,"GM160-11","",NA,NA,NA,NA
"369","GM160",2,"GM160-2","",NA,NA,NA,NA
"370","GM160",3,"GM160-3","",NA,NA,NA,NA
"371","GM160",4,"GM160-4","",NA,NA,NA,NA
"372","GM160",5,"GM160-5","",NA,NA,NA,NA
"373","GM160",7,"GM160-7","",NA,NA,NA,NA
"374","GM160",8,"GM160-8","",NA,NA,NA,NA
"375","GM160",9,"GM160-9","",NA,NA,NA,NA
"376","GMT02",1,"GMT02-1","",NA,NA,NA,NA
"377","GMT02",2,"GMT02-2","",NA,NA,NA,NA
"378","GMT02",3,"GMT02-3","",NA,NA,NA,NA
"379","GMT02",4,"GMT02-4","",NA,NA,NA,NA
"380","GMT02",5,"GMT02-5","",NA,NA,NA,NA
"381","GMT02",8,"GMT02-8","",NA,NA,NA,NA
"382","GOJ06",1,"GOJ06-1","",NA,NA,NA,NA
"383","GOJ06",2,"GOJ06-2","",NA,NA,NA,NA
"384","GOJ06",3,"GOJ06-3","",NA,NA,NA,NA
"385","GOJ06",4,"GOJ06-4","",NA,NA,NA,NA
"386","GOJ06",5,"GOJ06-5","",NA,NA,NA,NA
"387","GOJ06",7,"GOJ06-7","",NA,NA,NA,NA
"388","GOJ06",8,"GOJ06-8","",NA,NA,NA,NA
"389","GOJ06",9,"GOJ06-9","",NA,NA,NA,NA
"390","GRW91",2,"GRW91-2","Pre-Roman activity to c. AD 50",NA,50,NA,NA
"391","GSJ06",1,"GSJ06-1","",NA,NA,NA,NA
"392","GSJ06",10,"GSJ06-10","",NA,NA,NA,NA
"393","GSJ06",2,"GSJ06-2","",NA,NA,NA,NA
"394","GSJ06",3,"GSJ06-3","",NA,NA,NA,NA
"395","GSJ06",4,"GSJ06-4","",NA,NA,NA,NA
"396","GSJ06",5,"GSJ06-5","",NA,NA,NA,NA
"397","GSJ06",6,"GSJ06-6","",NA,NA,NA,NA
"398","GSJ06",8,"GSJ06-8","",NA,NA,NA,NA
"399","GSJ06",9,"GSJ06-9","",NA,NA,NA,NA
"400","GSM97",1,"GSM97-1","",NA,NA,NA,NA
"401","GSM97",10,"GSM97-10","",NA,NA,NA,NA
"402","GSM97",2,"GSM97-2","",NA,NA,NA,NA
"403","GSM97",3,"GSM97-3","",NA,NA,NA,NA
"404","GSM97",4,"GSM97-4","",NA,NA,NA,NA
"405","GSM97",5,"GSM97-5","",NA,NA,NA,NA
"406","GSM97",6,"GSM97-6","",NA,NA,NA,NA
"407","GSM97",9,"GSM97-9","",NA,NA,NA,NA
"408","GSY07",1,"GSY07-1","NATURAL, ARCHAEOLOGICALLY STERILE, SUBSTRATE",NA,NA,NA,NA
"409","GUD99",1,"GUD99-1","Natural topography and stream tributaries (pre-Roman)",NA,43,NA,NA
"410","GWO05",1,"GWO05-1","",NA,NA,NA,NA
"411","GWO05",2,"GWO05-2","",NA,NA,NA,NA
"412","GWO05",3,"GWO05-3","",NA,NA,NA,NA
"413","GWO05",4,"GWO05-4","",NA,NA,NA,NA
"414","GWO05",5,"GWO05-5","",NA,NA,NA,NA
"415","GWO05",6,"GWO05-6","",NA,NA,NA,NA
"416","GWO05",7,"GWO05-7","",NA,NA,NA,NA
"417","GYE92",0,"GYE92-0","",NA,NA,NA,NA
"418","GYE92",1,"GYE92-1","NATURAL GRAVELS",NA,NA,NA,NA
"419","HAM90",1,"HAM90-1","NATURAL",NA,NA,NA,NA
"420","HAM90",2,"HAM90-2","",NA,NA,NA,NA
"421","HAM90",3,"HAM90-3","",NA,NA,NA,NA
"422","HAM90",4,"HAM90-4","",NA,NA,NA,NA
"423","HAM90",5,"HAM90-5","",NA,NA,NA,NA
"424","HA-RPY07",0,"HA-RPY07-0","VOID AND UNDATED GROUPS - NO LANDUSE INTERP",NA,NA,NA,NA
"425","HE-HAD00",1,"HE-HAD00-1","NATUAL DEPOSITION",NA,NA,NA,NA
"426","HE-HBP99",8,"HE-HBP99-8","UNDATED OR UNPHASED",NA,NA,NA,NA
"427","HEN78",0,"HEN78-0","",NA,NA,NA,NA
"428","HEN78",1,"HEN78-1","Natural",NA,NA,NA,NA
"429","HE-RES01",1,"HE-RES01-1","NATURAL DEPOSITION OBSERVED THROUOUT RESIDENTIAL AREAS (ALSO HANDAXE AND THAMES PICK)",NA,NA,NA,NA
"430","HHX10",1,"HHX10-1","NATURAL",NA,NA,NA,NA
"431","HIB73",1,"HIB73-1","Natural",NA,NA,NA,NA
"432","HIB79",1,"HIB79-1","Natural",NA,NA,NA,NA
"433","HL80",0,"HL80-0","",NA,NA,NA,NA
"434","HL80",12,"HL80-12","",NA,NA,NA,NA
"435","HL80",15,"HL80-15","",NA,NA,NA,NA
"436","HL80",16,"HL80-16","",NA,NA,NA,NA
"437","HL80",17,"HL80-17","",NA,NA,NA,NA
"438","HL80",4,"HL80-4","",NA,NA,NA,NA
"439","HL80",5,"HL80-5","",NA,NA,NA,NA
"440","HL80",8,"HL80-8","",NA,NA,NA,NA
"441","HLL89",0,"HLL89-0","",NA,NA,NA,NA
"442","HLL89",1,"HLL89-1","NATURAL",NA,NA,NA,NA
"443","HLL89",2,"HLL89-2","PREHSITORIC ACTIVITY",NA,43,NA,NA
"444","HLL89",8,"HLL89-8","",NA,NA,NA,NA
"445","HLS08",1,"HLS08-1","",NA,NA,NA,NA
"446","HLS08",2,"HLS08-2","",NA,NA,NA,NA
"447","HLS08",3,"HLS08-3","",NA,NA,NA,NA
"448","HLS08",5,"HLS08-5","",NA,NA,NA,NA
"449","HLS08",6,"HLS08-6","",NA,NA,NA,NA
"450","HLW06",1,"HLW06-1","Geology and natural topography",NA,NA,NA,NA
"451","HLW06",2,"HLW06-2","Prehistoric landscape",NA,43,NA,NA
"452","HOM88",0,"HOM88-0","",NA,NA,NA,NA
"453","HOM88",12,"HOM88-12","",NA,NA,NA,NA
"454","HOM88",8,"HOM88-8","",NA,NA,NA,NA
"455","HR77",0,"HR77-0","",NA,NA,NA,NA
"456","HR77",1,"HR77-1","Natural",NA,NA,NA,NA
"457","HR79",1,"HR79-1","Natural",NA,NA,NA,NA
"458","HSN99",0,"HSN99-0","NATURAL DEPOSITS",NA,NA,NA,NA
"459","HSU96",0,"HSU96-0","",NA,NA,NA,NA
"460","HSU96",1,"HSU96-1","",NA,NA,NA,NA
"461","HSU96",2,"HSU96-2","PREHISTORIC ACTIVITY",NA,43,NA,NA
"462","HUM90",0,"HUM90-0","",NA,NA,NA,NA
"463","HUM90",1,"HUM90-1","Natural",NA,NA,NA,NA
"464","HUM90",2,"HUM90-2","Pre-Roman activity to c. AD 50",NA,50,NA,NA
"465","HUM91",0,"HUM91-0","",NA,NA,NA,NA
"466","HUM91",1,"HUM91-1","Natural",NA,NA,NA,NA
"467","HW/BR74",1,"HW/BR74-1","Geology and natural topography",NA,NA,NA,NA
"468","HW/DD94",1,"HW/DD94-1","Geology and natural topography",NA,NA,NA,NA
"469","HW/DD94",8,"HW/DD94-8","",NA,NA,NA,NA
"470","HW/LT94",0,"HW/LT94-0","",NA,NA,NA,NA
"471","HW/LT94",1,"HW/LT94-1","Geology and natural topography",NA,NA,NA,NA
"472","HW/LT94",99,"HW/LT94-99","",NA,NA,NA,NA
"473","HW/OP91",1,"HW/OP91-1","Geology and natural topography",NA,NA,NA,NA
"474","HWR99",1,"HWR99-1","",NA,NA,NA,NA
"475","HWR99",3,"HWR99-3","",NA,NA,NA,NA
"476","HWR99",4,"HWR99-4","",NA,NA,NA,NA
"477","HWR99",5,"HWR99-5","",NA,NA,NA,NA
"478","HWR99",6,"HWR99-6","",NA,NA,NA,NA
"479","HWR99",7,"HWR99-7","",NA,NA,NA,NA
"480","HW/RW94",1,"HW/RW94-1","Geology and natural topography",NA,NA,NA,NA
"481","HW/RW94",2,"HW/RW94-2","Prehistoric to Saxon",NA,NA,NA,NA
"482","HW/SL83",0,"HW/SL83-0","",NA,NA,NA,NA
"483","HW/SL83",1,"HW/SL83-1","Geology and natural topography",NA,NA,NA,NA
"484","HW/SL83",99,"HW/SL83-99","",NA,NA,NA,NA
"485","JFN08",1,"JFN08-1","NATURAL AND PRE-ROMAN",NA,43,NA,NA
"486","JON89",1,"JON89-1","PERIOD X1, NATURAL GEOLOGICAL DEPOSITS",NA,NA,NA,NA
"487","JSS92",0,"JSS92-0","",NA,NA,NA,NA
"488","KEL00",1,"KEL00-1","",NA,NA,NA,NA
"489","KEL00",3,"KEL00-3","",NA,NA,NA,NA
"490","KEL00",4,"KEL00-4","",NA,NA,NA,NA
"491","KEL00",5,"KEL00-5","",NA,NA,NA,NA
"492","KEL00",6,"KEL00-6","",NA,NA,NA,NA
"493","KEL00",7,"KEL00-7","",NA,NA,NA,NA
"494","KEW98",0,"KEW98-0","NATURAL DEPOSITS",NA,NA,NA,NA
"495","KEW98",1,"KEW98-1","HOLOCENE PALAEOCHANNELS AND INC WESTERN STREAM",NA,NA,NA,NA
"496","KGT06",1,"KGT06-1","",NA,NA,NA,NA
"497","KGT06",2,"KGT06-2","",NA,NA,NA,NA
"498","KGT06",3,"KGT06-3","",NA,NA,NA,NA
"499","KGT06",4,"KGT06-4","",NA,NA,NA,NA
"500","KGT06",5,"KGT06-5","",NA,NA,NA,NA
"501","KGT06",7,"KGT06-7","",NA,NA,NA,NA
"502","KGT06",8,"KGT06-8","",NA,NA,NA,NA
"503","KGT06",9,"KGT06-9","",NA,NA,NA,NA
"504","KHS98",1,"KHS98-1","NATURAL",NA,NA,NA,NA
"505","KIG95",1,"KIG95-1","",NA,NA,NA,NA
"506","KIG95",2,"KIG95-2","",NA,NA,NA,NA
"507","KIG95",3,"KIG95-3","",NA,NA,NA,NA
"508","KIG95",4,"KIG95-4","",NA,NA,NA,NA
"509","KIG95",5,"KIG95-5","",NA,NA,NA,NA
"510","KIG95",6,"KIG95-6","",NA,NA,NA,NA
"511","KIG95",7,"KIG95-7","",NA,NA,NA,NA
"512","KIG95",8,"KIG95-8","",NA,NA,NA,NA
"513","KIN88",1,"KIN88-1","NATURAL",NA,NA,NA,NA
"514","KNG85",1,"KNG85-1","NATURAL",NA,NA,NA,NA
"515","KNG85",10,"KNG85-10","MODERN FEATURES",NA,NA,NA,NA
"516","KNG85",100,"KNG85-100","NATURAL TOPOGRAPHY = PERIOD 1 IN MOLA MONOGRAPHS 37-38",NA,NA,NA,NA
"517","KPH05",1,"KPH05-1","NATURAL",NA,NA,NA,NA
"518","KT-TSM10",0,"KT-TSM10-0","",NA,NA,NA,NA
"519","KT-TSM10",1,"KT-TSM10-1","",NA,NA,NA,NA
"520","KT-TSM10",11,"KT-TSM10-11","",NA,NA,NA,NA
"521","KT-TSM10",3,"KT-TSM10-3","",NA,NA,NA,NA
"522","KT-TSM10",5,"KT-TSM10-5","",NA,NA,NA,NA
"523","KT-TSM10",6,"KT-TSM10-6","",NA,NA,NA,NA
"524","KT-TSM10",7,"KT-TSM10-7","",NA,NA,NA,NA
"525","KT-TSM10",8,"KT-TSM10-8","",NA,NA,NA,NA
"526","KWH96",1,"KWH96-1","NATURAL (BRICKEARTH, GRAVEL AND POSSIBLE PALAEOCHANNEL)",NA,NA,NA,NA
"527","KWS94",0,"KWS94-0","",NA,NA,NA,NA
"528","L10779",0,"L10779-0","",NA,NA,NA,NA
"529","L58286",1,"L58286-1","",NA,NA,NA,NA
"530","L58286",2,"L58286-2","",NA,NA,NA,NA
"531","L58286",9,"L58286-9","",NA,NA,NA,NA
"532","LBA95",1,"LBA95-1","Natural",NA,NA,NA,NA
"533","LBA95",4,"LBA95-4","[? B1 and OA4]",NA,NA,NA,NA
"534","LBA95",5,"LBA95-5","[modern?]",NA,NA,NA,NA
"535","LBB95",1,"LBB95-1","Natural",NA,NA,NA,NA
"536","LBB95",2,"LBB95-2","[? OA2]",NA,NA,NA,NA
"537","LBB95",5,"LBB95-5","[? B1 and OA5]",NA,NA,NA,NA
"538","LBC95",1,"LBC95-1","Natural",NA,NA,NA,NA
"539","LBC95",3,"LBC95-3","[? Includes med. OA3, S2]",NA,NA,NA,NA
"540","LBC95",4,"LBC95-4","[? OA4]",NA,NA,NA,NA
"541","LBC95",5,"LBC95-5","[modern? B1]",NA,NA,NA,NA
"542","LBD95",1,"LBD95-1","Natural",NA,NA,NA,NA
"543","LBD95",3,"LBD95-3","[? OA3]",NA,NA,NA,NA
"544","LBE95",0,"LBE95-0","[? B2]",NA,NA,NA,NA
"545","LBE95",1,"LBE95-1","Natural",NA,NA,NA,NA
"546","LBE95",6,"LBE95-6","[? OA7, S3]",NA,NA,NA,NA
"547","LBE95",7,"LBE95-7","{? Modern]",NA,NA,NA,NA
"548","LBH94",1,"LBH94-1","Natural",NA,NA,NA,NA
"549","LBH94",3,"LBH94-3","[? OA3]",NA,NA,NA,NA
"550","LBH94",4,"LBH94-4","[? B1, B3, OA4]",NA,NA,NA,NA
"551","LBH94",5,"LBH94-5","[? B2, B4, OA5, OA6] ",NA,NA,NA,NA
"552","LBI95",0,"LBI95-0","[? OA12, includes lots of pits and graves]",NA,NA,NA,NA
"553","LBJ95",1,"LBJ95-1","Natural",NA,NA,NA,NA
"554","LBN08",1,"LBN08-1","NATURAL",NA,NA,NA,NA
"555","LBN08",2,"LBN08-2","PRE-ROMAN",NA,43,NA,NA
"556","LBN08",7,"LBN08-7","PRE-16TH CENTURY",NA,1500,NA,NA
"557","LD76",1,"LD76-1","Natural",NA,NA,NA,NA
"558","LDN01",1,"LDN01-1","NATURAL GEOLOGY AND TOPOGRAPHY",NA,NA,NA,NA
"559","LDN01",9,"LDN01-9","",NA,NA,NA,NA
"560","LER91",1,"LER91-1","Natural",NA,NA,NA,NA
"561","LGC00",1,"LGC00-1","GEOLOGICAL DEPOSITS AND FEATURE",NA,NA,NA,NA
"562","LHY88",0,"LHY88-0","",NA,NA,NA,NA
"563","LHY88",1,"LHY88-1","NATURAL SAND AND GRAVEL",NA,NA,NA,NA
"564","LHY88",100,"LHY88-100","NATURAL TOPOGRAPHY = PERIOD 1 IN MOLA MONOGRAPHS 37-38",NA,NA,NA,NA
"565","LLW03",1,"LLW03-1","NATURAL",NA,NA,NA,NA
"566","LMZ06",1,"LMZ06-1","",NA,NA,NA,NA
"567","LMZ06",3,"LMZ06-3","",NA,NA,NA,NA
"568","LOM88",0,"LOM88-0","",NA,NA,NA,NA
"569","LOM88",1,"LOM88-1","NATURAL SAND AND GRAVEL",NA,NA,NA,NA
"570","LOM88",100,"LOM88-100","NATURAL TOPOGRAPHY = PERIOD 1 IN MOLA MONOGRAPHS 37-38",NA,NA,NA,NA
"571","LSZ08",1,"LSZ08-1","",NA,NA,NA,NA
"572","LSZ08",2,"LSZ08-2","",NA,NA,NA,NA
"573","LSZ08",3,"LSZ08-3","",NA,NA,NA,NA
"574","LSZ08",4,"LSZ08-4","",NA,NA,NA,NA
"575","LSZ08",5,"LSZ08-5","",NA,NA,NA,NA
"576","LUB98",1,"LUB98-1","NATURAL GEOLOGY",NA,NA,NA,NA
"577","LUB98",3,"LUB98-3","QUARRY PITS",NA,NA,NA,NA
"578","LUB98",4,"LUB98-4","",NA,NA,NA,NA
"579","LVL97",0,"LVL97-0","Natural",NA,NA,NA,NA
"580","LWK92",1,"LWK92-1","",NA,NA,NA,NA
"581","LWK92",4,"LWK92-4","",NA,NA,NA,NA
"582","LWK92",6,"LWK92-6","",NA,NA,NA,NA
"583","LWK92",8,"LWK92-8","",NA,NA,NA,NA
"584","LYD88",0,"LYD88-0","TO BE SUPPLIED",NA,NA,NA,NA
"585","LYD88",1,"LYD88-1","NATURAL GEOLOGY AND TOPOGRAPHY AND RIVERINE DEPOSITS",NA,NA,NA,NA
"586","M4M84",0,"M4M84-0","",NA,NA,NA,NA
"587","M4M84",12,"M4M84-12","",NA,NA,NA,NA
"588","MAL92",0,"MAL92-0","",NA,NA,NA,NA
"589","MBH04",0,"MBH04-0","",NA,NA,NA,NA
"590","MCF06",1,"MCF06-1","",NA,NA,NA,NA
"591","MCF06",2,"MCF06-2","",NA,NA,NA,NA
"592","MCF06",3,"MCF06-3","",NA,NA,NA,NA
"593","MCF06",4,"MCF06-4","",NA,NA,NA,NA
"594","MCF06",5,"MCF06-5","",NA,NA,NA,NA
"595","MCF06",6,"MCF06-6","",NA,NA,NA,NA
"596","MCF06",8,"MCF06-8","",NA,NA,NA,NA
"597","MFB98",0,"MFB98-0","",NA,NA,NA,NA
"598","MFB98",10,"MFB98-10","[not in report]",NA,NA,NA,NA
"599","MFB98",5,"MFB98-5","[not in report]",NA,NA,NA,NA
"600","MFB98",6,"MFB98-6","[not in report]",NA,NA,NA,NA
"601","MFB98",7,"MFB98-7","[not in report]",NA,NA,NA,NA
"602","MFB98",8,"MFB98-8","[not in report]",NA,NA,NA,NA
"603","MFB98",9,"MFB98-9","[not in report]",NA,NA,NA,NA
"604","MFEB87",0,"MFEB87-0","",NA,NA,NA,NA
"605","MFEB87",12,"MFEB87-12","",NA,NA,NA,NA
"606","MFEB87",15,"MFEB87-15","",NA,NA,NA,NA
"607","MFEB87",16,"MFEB87-16","",NA,NA,NA,NA
"608","MFEB87",17,"MFEB87-17","",NA,NA,NA,NA
"609","MFEB87",4,"MFEB87-4","",NA,NA,NA,NA
"610","MFH87",0,"MFH87-0","",NA,NA,NA,NA
"611","MFH87",12,"MFH87-12","",NA,NA,NA,NA
"612","MFH87",2,"MFH87-2","",NA,NA,NA,NA
"613","MG82",0,"MG82-0","",NA,NA,NA,NA
"614","MG82",1,"MG82-1","",NA,NA,NA,NA
"615","MG82",6,"MG82-6","",NA,NA,NA,NA
"616","MGA00",0,"MGA00-0","",NA,NA,NA,NA
"617","MHH00",1,"MHH00-1","",NA,NA,NA,NA
"618","MHH00",2,"MHH00-2","",NA,NA,NA,NA
"619","MHH00",3,"MHH00-3","",NA,NA,NA,NA
"620","MHH00",4,"MHH00-4","",NA,NA,NA,NA
"621","MHO92",1,"MHO92-1","NATURAL GEOLOGY",NA,NA,NA,NA
"622","MHO92",100,"MHO92-100","NATURAL TOPOGRAPHY = PERIOD 1 IN MOLA MONOGRAPHS 37-38",NA,NA,NA,NA
"623","MLB92",1,"MLB92-1","NATURAL GEOLOGY AND TOPOGRAPHY",NA,NA,NA,NA
"624","MNU11",100,"MNU11-100","NATURAL GEOLOGY AND TOPOGRAPHY",NA,NA,NA,NA
"625","MOR87",0,"MOR87-0","",NA,NA,NA,NA
"626","MOR87",1,"MOR87-1","Topography and prehistoric activity",NA,43,NA,NA
"627","MOR88",0,"MOR88-0","",NA,NA,NA,NA
"628","MOR88",1,"MOR88-1","Topography and prehistoric activity",NA,43,NA,NA
"629","MPY86",0,"MPY86-0","",NA,NA,NA,NA
"630","MPY86",1,"MPY86-1","NATURL DEPOSITS ETC									",NA,NA,NA,NA
"631","MPY86",2,"MPY86-2","PRE PRIORY ACTIVITY IE UP TO C. 1117 AD - INCLUDES ALL EARLIER ACTIVITY = R1 & S1",NA,1117,NA,NA
"632","MRG95",1,"MRG95-1","NATURAL",NA,NA,NA,NA
"633","MSA92",1,"MSA92-1","",NA,NA,NA,NA
"634","MSA92",2,"MSA92-2","",NA,NA,NA,NA
"635","MSA92",3,"MSA92-3","",NA,NA,NA,NA
"636","MSA92",4,"MSA92-4","",NA,NA,NA,NA
"637","MSA92",5,"MSA92-5","",NA,NA,NA,NA
"638","MSR08",2,"MSR08-2","QUARRY PITS
TAQ: 1693",NA,NA,NA,NA
"639","MSR08",3,"MSR08-3","BURIAL GROUNDS AND DIVIDING WALL
1694 - C.1821
S4 AND S5 NOT DATABLE

",NA,NA,NA,NA
"640","MSR08",4,"MSR08-4","LATE WORKHOUSE BUILDINGS
C.1821 - C. 1925",NA,NA,NA,NA
"641","MTX11",0,"MTX11-0","",NA,NA,NA,NA
"642","MTX11",1,"MTX11-1","NATURAL TOPOGRAPHY: GRAVELS SEALED BY STERILE BRICKEARTH.",NA,NA,NA,NA
"643","NAN01",0,"NAN01-0","NATURAL BRICKEARTH",NA,NA,NA,NA
"644","NAN01",3,"NAN01-3","ORIGINAL BUILD OF ST MARTIN'S WORKHOUSE AS WELL AS LATER EXTENSION AND LARGE SEWER",NA,NA,NA,NA
"645","NAN01",4,"NAN01-4","NATIONAL GALLERY",NA,NA,NA,NA
"646","NCZ07",1,"NCZ07-1","",NA,NA,NA,NA
"647","NCZ07",10,"NCZ07-10","",NA,NA,NA,NA
"648","NCZ07",2,"NCZ07-2","",NA,NA,NA,NA
"649","NCZ07",3,"NCZ07-3","",NA,NA,NA,NA
"650","NCZ07",4,"NCZ07-4","",NA,NA,NA,NA
"651","NCZ07",5,"NCZ07-5","",NA,NA,NA,NA
"652","NCZ07",6,"NCZ07-6","",NA,NA,NA,NA
"653","NCZ07",7,"NCZ07-7","",NA,NA,NA,NA
"654","NCZ07",8,"NCZ07-8","",NA,NA,NA,NA
"655","NCZ07",9,"NCZ07-9","",NA,NA,NA,NA
"656","NEG98",1,"NEG98-1","NATURAL",NA,NA,NA,NA
"657","NEU09",0,"NEU09-0","",NA,NA,NA,NA
"658","NEU09",1,"NEU09-1","NATURAL GRAVELS",NA,NA,NA,NA
"659","NEV06",0,"NEV06-0","",NA,NA,NA,NA
"660","NEV06",1,"NEV06-1","",NA,NA,NA,NA
"661","NEV06",2,"NEV06-2","",NA,NA,NA,NA
"662","NEV06",3,"NEV06-3","",NA,NA,NA,NA
"663","NEV06",4,"NEV06-4","",NA,NA,NA,NA
"664","NEV06",5,"NEV06-5","",NA,NA,NA,NA
"665","NEV06",6,"NEV06-6","",NA,NA,NA,NA
"666","NEW81",0,"NEW81-0","",NA,NA,NA,NA
"667","NEW81",1,"NEW81-1","",NA,NA,NA,NA
"668","NEW81",3,"NEW81-3","",NA,NA,NA,NA
"669","NEW81",4,"NEW81-4","",NA,NA,NA,NA
"670","NEW81",5,"NEW81-5","",NA,NA,NA,NA
"671","NEW81",6,"NEW81-6","",NA,NA,NA,NA
"672","NEW81",7,"NEW81-7","",NA,NA,NA,NA
"673","NEW81",8,"NEW81-8","",NA,NA,NA,NA
"674","NEW87",0,"NEW87-0","",NA,NA,NA,NA
"675","NEW87",1,"NEW87-1","",NA,NA,NA,NA
"676","NEW87",2,"NEW87-2","",NA,NA,NA,NA
"677","NEW87",3,"NEW87-3","",NA,NA,NA,NA
"678","NEW87",4,"NEW87-4","",NA,NA,NA,NA
"679","NEW87",5,"NEW87-5","",NA,NA,NA,NA
"680","NEW87",7,"NEW87-7","",NA,NA,NA,NA
"681","NEW87",8,"NEW87-8","",NA,NA,NA,NA
